loan_amnt,int_rate,annual_inc,dti,emp_length,open_acc,revol_util,pub_rec,delinq_2yrs,loan_status
12800.0,12.59,103000.0,14.8,10,8.0,22.4,1.0,1.0,0
35000.0,11.53,125000.0,11.53,1,16.0,39.5,0.0,0.0,0
24000.0,7.89,100000.0,0.9,4,4.0,7.0,0.0,0.0,0
23975.0,14.65,75000.0,18.85,10,14.0,60.6,0.0,0.0,0
12000.0,10.99,65000.0,13.2,5,9.0,14.9,0.0,1.0,0
18000.0,10.99,68000.0,22.17,0,20.0,39.3,1.0,0.0,0
20000.0,10.99,85000.0,20.82,10,11.0,60.0,0.0,0.0,0
14000.0,10.99,44000.0,17.21,2,14.0,57.0,0.0,0.0,0
12000.0,12.59,72000.0,26.62,10,13.0,90.2,0.0,0.0,0
35000.0,15.61,125000.0,21.51,10,37.0,97.1,0.0,0.0,0
12000.0,7.89,105000.0,16.71,10,10.0,28.9,0.0,0.0,0
8000.0,12.29,74000.0,7.69,1,12.0,60.4,0.0,1.0,0
5200.0,11.49,50000.0,18.39,3,10.0,48.1,0.0,1.0,0
6000.0,8.18,46000.0,24.13,10,21.0,32.5,0.0,0.0,0
20700.0,17.86,52000.0,20.61,1,6.0,88.9,0.0,0.0,0
8000.0,17.86,50000.0,12.17,10,16.0,56.3,1.0,0.0,1
8000.0,12.69,71000.0,2.35,5,3.0,20.8,0.0,0.0,1
8850.0,16.99,39520.0,14.39,1,9.0,63.9,0.0,0.0,1
15000.0,6.39,57000.0,32.57,10,12.0,42.1,0.0,0.0,0
12000.0,10.99,48000.0,4.08,5,5.0,61.3,0.0,0.0,0
10000.0,16.55,72000.0,15.58,10,13.0,58.4,0.0,1.0,0
12800.0,5.32,168000.0,14.78,2,17.0,16.9,0.0,0.0,0
20525.0,17.57,59000.0,16.5,10,13.0,22.9,0.0,0.0,0
9000.0,11.99,40000.0,15.15,0,10.0,31.7,1.0,0.0,0
21500.0,19.19,119000.0,14.08,5,21.0,71.1,0.0,0.0,0
4000.0,13.99,57000.0,14.78,10,11.0,34.0,0.0,3.0,1
4800.0,9.99,90000.0,2.52,10,10.0,11.7,0.0,0.0,0
7000.0,12.29,17760.0,29.59,0,4.0,85.3,0.0,0.0,0
24000.0,10.99,63000.0,26.72,10,8.0,64.3,0.0,0.0,0
9000.0,11.22,35000.0,9.5,0,8.0,53.4,0.0,0.0,0
17000.0,7.26,100000.0,16.16,10,7.0,57.0,1.0,1.0,1
1750.0,18.25,64000.0,19.37,3,9.0,80.0,1.0,4.0,1
20000.0,13.44,46500.0,19.59,9,9.0,49.8,1.0,0.0,0
6000.0,7.91,50000.0,19.42,10,8.0,24.0,0.0,0.0,0
6000.0,10.99,80000.0,23.79,10,16.0,60.6,0.0,0.0,0
5000.0,12.69,80000.0,34.14,10,11.0,80.8,0.0,0.0,0
14950.0,13.33,34000.0,30.85,2,17.0,48.0,0.0,0.0,0
35000.0,18.55,100000.0,29.56,3,28.0,71.0,0.0,1.0,0
17000.0,9.17,66000.0,14.35,5,13.0,36.6,1.0,0.0,0
30000.0,18.55,76623.84,39.47,8,18.0,84.8,0.0,0.0,1
4600.0,19.99,32000.0,20.71,10,8.0,72.3,0.0,0.0,0
32000.0,9.99,120000.0,14.81,2,13.0,70.8,0.0,0.0,1
17675.0,22.99,39300.0,37.01,0,17.0,79.0,0.0,0.0,1
15300.0,13.18,65000.0,12.65,9,7.0,99.4,0.0,0.0,1
7000.0,8.18,51000.0,13.44,6,4.0,97.3,0.0,0.0,0
13000.0,13.99,54000.0,24.2,10,9.0,79.6,0.0,0.0,1
2950.0,15.41,42000.0,37.26,10,11.0,53.4,0.0,6.0,0
10000.0,10.64,75000.0,6.45,0,6.0,40.0,0.0,0.0,0
